Length,Path,Composer,Title
54709,"Bird/She is in Trouble.vgz",Bird,"She is in Trouble"
12458,"Bird/Poor Natalie.vgz",Bird,"Poor Natalie"
24830,"Bird/Burn Her Down.vgz",Bird,"Burn Her Down"
69436,Bird/Innovate.vgz,Bird,Innovate
44279,Bird/Sorrows.vgz,Bird,Sorrows
15395,Bird/Cheap.vgz,Bird,Cheap
44868,"birdrun/Oh Zarking Fardwarks, Has No-One Done Anything Yet.vgz",birdrun,"Oh Zarking Fardwarks, Has No-One Done Anything Yet"
50828,"birdrun/Funkay Moves.vgz",birdrun,"Funkay Moves"
8818,"Bisqwit/The Battle of Olympus - Peloponnesus Forest.vgz",Bisqwit,"The Battle of Olympus - Peloponnesus Forest"
5295,"Bisqwit/Star Trek - Deep Space Nine - Theme.vgz",Bisqwit,"Star Trek - Deep Space Nine - Theme"
20874,"Bisqwit/Sta Pikku Klooni.vgz",Bisqwit,"Sta Pikku Klooni"
7686,"BlastlessAnthony/Blaster Master - Area 1.vgz",BlastlessAnthony,"Blaster Master - Area 1"
2646,"BlastlessAnthony/Sonic the Hedgehog 3 & Knuckles - Flying Battery Zone Act 1.vgz",BlastlessAnthony,"Sonic the Hedgehog 3 & Knuckles - Flying Battery Zone Act 1"
19047,"BlastlessAnthony/Deltarune Chapter 2 - Attack of the Killer Queen.vgz",BlastlessAnthony,"Deltarune Chapter 2 - Attack of the Killer Queen"
23810,"BlastlessAnthony/Undertale - Another Medium.vgz",BlastlessAnthony,"Undertale - Another Medium"
12075,"BlastlessAnthony/Rivals of Aether - Main Menu.vgz",BlastlessAnthony,"Rivals of Aether - Main Menu"
13730,"Bodenstandig 2000/Trabant - Enter Spacebar (Bodenstandig 2000 Schwert Und Skelett Mix).vgz","Bodenstandig 2000","Trabant - Enter Spacebar (Bodenstandig 2000 Schwert Und Skelett Mix)"
26334,"Brendan Bailey/Call to Duty.vgz","Brendan Bailey","Call to Duty"
3040,"Brendan Bailey/THEE Chiptune.vgz","Brendan Bailey","THEE Chiptune"
4596,"Brendan Bailey/Game Tutorial Theme.vgz","Brendan Bailey","Game Tutorial Theme"
5432,"Brendan Bailey/Ultraviolet Sky.vgz","Brendan Bailey","Ultraviolet Sky"
3896,"Brendan Bailey/Chivalry Honor.vgz","Brendan Bailey","Chivalry Honor"
3235,"Brendan Bailey/Fifths Echo Rock.vgz","Brendan Bailey","Fifths Echo Rock"
9162,"Brendan Bailey/Banzai Erdogo.vgz","Brendan Bailey","Banzai Erdogo"
17940,"Brendan Bailey/The Omega Virus.vgz","Brendan Bailey","The Omega Virus"
18806,"Brendan Bailey/Oblivion Blast.vgz","Brendan Bailey","Oblivion Blast"
1622,"Brendan Bailey/Cool Down Time.vgz","Brendan Bailey","Cool Down Time"
5286,"Brendan Bailey/Manifest Destiny.vgz","Brendan Bailey","Manifest Destiny"
1064,"Brendan Bailey/Super Mario Bros - Invincible.vgz","Brendan Bailey","Super Mario Bros - Invincible"
3078,"Brendan Bailey/Skylight Central.vgz","Brendan Bailey","Skylight Central"
13674,"Brendan Bailey/The Great Depression.vgz","Brendan Bailey","The Great Depression"
1810,"Brendan Bailey/Birdstone.vgz","Brendan Bailey",Birdstone
1592,"Brendan Bailey/Evil Sounding Loop.vgz","Brendan Bailey","Evil Sounding Loop"
1873,"Brendan Bailey/Enchanting Loop.vgz","Brendan Bailey","Enchanting Loop"
4379,"Brendan Bailey/The 30 Blade Razor Commercial Theme.vgz","Brendan Bailey","The 30 Blade Razor Commercial Theme"
2637,"Brendan Bailey/Sleep, Work, and Play.vgz","Brendan Bailey","Sleep, Work, and Play"
5821,"Brendan Bailey/Dream 7 Max Slot Machine - Bonus Theme.vgz","Brendan Bailey","Dream 7 Max Slot Machine - Bonus Theme"
4447,"Brendan Bailey/The Contrasts Between Good and Evil - What We Learn.vgz","Brendan Bailey","The Contrasts Between Good and Evil - What We Learn"
10213,"Brendan Bailey/Fun Land.vgz","Brendan Bailey","Fun Land"
4161,"Brendan Bailey/Deep Down Low.vgz","Brendan Bailey","Deep Down Low"
8142,"Brendan Bailey/Mechanized Warfare.vgz","Brendan Bailey","Mechanized Warfare"
3059,"Brendan Bailey/The Sky is Sharp.vgz","Brendan Bailey","The Sky is Sharp"
16406,"Brendan Bailey/These Are the Days of Our Lives.vgz","Brendan Bailey","These Are the Days of Our Lives"
2587,"Brendan Bailey/Time Will Tell.vgz","Brendan Bailey","Time Will Tell"
4323,"Brendan Bailey/The Apocalypse Starts at Sun Down.vgz","Brendan Bailey","The Apocalypse Starts at Sun Down"
2420,"Brendan Bailey/The Kelsey Song.vgz","Brendan Bailey","The Kelsey Song"
1770,"Brendan Bailey/Cool Cat.vgz","Brendan Bailey","Cool Cat"
10963,"Brendan Bailey/Lost Cause.vgz","Brendan Bailey","Lost Cause"
36142,"Brendan Bailey/Deception (Revised Edition).vgz","Brendan Bailey","Deception (Revised Edition)"
6850,"Brendan Bailey/FRENZY!!!.vgz","Brendan Bailey",FRENZY!!!
7748,"Brendan Bailey/Very Nice Slot Machine - Themes.vgz","Brendan Bailey","Very Nice Slot Machine - Themes"
2599,"Brendan Bailey/Bonus Round Theme.vgz","Brendan Bailey","Bonus Round Theme"
2637,"Brendan Bailey/Conspiracy.vgz","Brendan Bailey",Conspiracy
44278,"Brendan Bailey/In a Perfect World.vgz","Brendan Bailey","In a Perfect World"
6109,"Brendan Bailey/Torpedo Alley.vgz","Brendan Bailey","Torpedo Alley"
2362,"Brendan Bailey/No Choice But to Follow Them.vgz","Brendan Bailey","No Choice But to Follow Them"
1932,"Brendan Bailey/Look to the Horizon.vgz","Brendan Bailey","Look to the Horizon"
3480,"Brendan Bailey/Inevitable Serenity.vgz","Brendan Bailey","Inevitable Serenity"
3408,"Brendan Bailey/15 Minute Compo Trial.vgz","Brendan Bailey","15 Minute Compo Trial"
5657,"Brendan Bailey/Marble City.vgz","Brendan Bailey","Marble City"
8161,"Brendan Bailey/Obstacles of a Determined Mind.vgz","Brendan Bailey","Obstacles of a Determined Mind"
2674,"Brendan Bailey/The Popcorn Song.vgz","Brendan Bailey","The Popcorn Song"
3519,"Brendan Bailey/Treachery.vgz","Brendan Bailey",Treachery
5865,"Brendan Bailey/Never Say Never.vgz","Brendan Bailey","Never Say Never"
8527,"Brendan Bailey/Blades of Glory (Revised Version).vgz","Brendan Bailey","Blades of Glory (Revised Version)"
7477,"Brendan Bailey/Moderately Speaking.vgz","Brendan Bailey","Moderately Speaking"
2349,"Brendan Bailey/Metro in Transit.vgz","Brendan Bailey","Metro in Transit"
8429,"Brendan Bailey/Here Come the Teamsters!.vgz","Brendan Bailey","Here Come the Teamsters!"
10034,"Brendan Bailey/One Heck of an Adventure!.vgz","Brendan Bailey","One Heck of an Adventure!"
3404,"Brendan Bailey/A Different Kind of Hero.vgz","Brendan Bailey","A Different Kind of Hero"
7859,"Brendan Bailey/Waves of Marine Life.vgz","Brendan Bailey","Waves of Marine Life"
1617,"Brendan Bailey/The Big Guns.vgz","Brendan Bailey","The Big Guns"
14234,"Brendan Bailey/The Day Has Come.vgz","Brendan Bailey","The Day Has Come"
4686,"Brendan Bailey/Dream 7 Max Slot Machine - Theme.vgz","Brendan Bailey","Dream 7 Max Slot Machine - Theme"
4145,"Brendan Bailey/Race Through Cyberspace.vgz","Brendan Bailey","Race Through Cyberspace"
6831,"Brendan Bailey/Frozen Over Heck.vgz","Brendan Bailey","Frozen Over Heck"
10627,"Brendan Bailey/The Blizzard.vgz","Brendan Bailey","The Blizzard"
3945,"Brendan Bailey/West Bound Engine.vgz","Brendan Bailey","West Bound Engine"
3336,"Brendan Bailey/Golden Bell Slot Machine - Bonus Theme.vgz","Brendan Bailey","Golden Bell Slot Machine - Bonus Theme"
3870,"Brendan Bailey/Mechanical Age.vgz","Brendan Bailey","Mechanical Age"
2919,"Brendan Bailey/Think Fast.vgz","Brendan Bailey","Think Fast"
1807,"Brendan Bailey/No Good Gofers.vgz","Brendan Bailey","No Good Gofers"
2277,"Brendan Bailey/Suspicion.vgz","Brendan Bailey",Suspicion
702,"Brendan Bailey/Battletoads - Briefing Theme.vgz","Brendan Bailey","Battletoads - Briefing Theme"
3409,"Brendan Bailey/Twisted Paradise.vgz","Brendan Bailey","Twisted Paradise"
6935,"Brendan Bailey/HOV Lane.vgz","Brendan Bailey","HOV Lane"
10343,"Brendan Bailey/SpacePlex.vgz","Brendan Bailey",SpacePlex
1855,"Brendan Bailey/Full Throttle.vgz","Brendan Bailey","Full Throttle"
5171,"Brendan Bailey/Friendship.vgz","Brendan Bailey",Friendship
2806,"Brendan Bailey/Entertainment Warehouse.vgz","Brendan Bailey","Entertainment Warehouse"
5780,"Brendan Bailey/Lemmings - Lemming 2.vgz","Brendan Bailey","Lemmings - Lemming 2"
5336,"Brendan Bailey/The Happy Robin Theme.vgz","Brendan Bailey","The Happy Robin Theme"
8673,"Brendan Bailey/Spark Plug.vgz","Brendan Bailey","Spark Plug"
5612,"Brendan Bailey/Ambush of Angels.vgz","Brendan Bailey","Ambush of Angels"
2758,"Brendan Bailey/An Awkward Invasion.vgz","Brendan Bailey","An Awkward Invasion"
2622,"Brendan Bailey/Lucky Sevens.vgz","Brendan Bailey","Lucky Sevens"
4437,"Brendan Bailey/The Paparazzi.vgz","Brendan Bailey","The Paparazzi"
13350,"Brendan Bailey/The Hunter and the Hunted.vgz","Brendan Bailey","The Hunter and the Hunted"
2049,"Brendan Bailey/Sitcom Game Menu Theme.vgz","Brendan Bailey","Sitcom Game Menu Theme"
1864,"Brendan Bailey/Dream Among the Clouds Forever.vgz","Brendan Bailey","Dream Among the Clouds Forever"
4137,"Brendan Bailey/Blades of Glory.vgz","Brendan Bailey","Blades of Glory"
18159,"Brendan Bailey/Race Through Cyberspace (Revised Edition).vgz","Brendan Bailey","Race Through Cyberspace (Revised Edition)"
3352,"Brendan Bailey/Oh the Irony!.vgz","Brendan Bailey","Oh the Irony!"
3302,"Brendan Bailey/Electronic Skiing.vgz","Brendan Bailey","Electronic Skiing"
3250,"Brendan Bailey/Sinister Deception.vgz","Brendan Bailey","Sinister Deception"
8022,"Brendan Bailey/Stormy Weather.vgz","Brendan Bailey","Stormy Weather"
25365,"brickblock369/Doom - Dark Halls (E1M3).vgz",brickblock369,"Doom - Dark Halls (E1M3)"
51250,"brickblock369/Fortress 2 Blue - Egyptian Rule.vgz",brickblock369,"Fortress 2 Blue - Egyptian Rule"
3878,Byulbram/READY-GO.vgz,Byulbram,READY-GO
22592,"cabbage drop/Underwater Submarine.vgz","cabbage drop","Underwater Submarine"
13626,"cabbage drop/Golf Simulator.vgz","cabbage drop","Golf Simulator"
14114,"cabbage drop/UFO Test Drive.vgz","cabbage drop","UFO Test Drive"
16134,"cabbage drop/Tuesday Thursday.vgz","cabbage drop","Tuesday Thursday"
9317,"Carlos Amoyan/GOA.CMA.001.vgz","Carlos Amoyan",GOA
27879,"Chimeratio/Fist Fight at the DEFRAGMENTATION_CUBE.vgz",Chimeratio,"Fist Fight at the DEFRAGMENTATION_CUBE"
33642,"Chimeratio/Lost in iNFORMATION Labyrinth C.vgz",Chimeratio,"Lost in iNFORMATION Labyrinth C"
53610,"Chimeratio/Can You Defeat The PAIN CRYSTAL [RUINS DEFENSE MECHANISM2] (no).vgz",Chimeratio,"Can You Defeat The PAIN CRYSTAL [RUINS DEFENSE MECHANISM2] (no)"
13578,"Chip Champion/Biomech 3.vgz","Chip Champion","Biomech 3"
15706,"Chip Champion/Den of the Mutant Sewer Rats.vgz","Chip Champion","Den of the Mutant Sewer Rats"
15312,"Chip Champion/Program 15.vgz","Chip Champion","Program 15"
15082,"Chip Champion/Cyber Junk.vgz","Chip Champion","Cyber Junk"
16594,"Chip Champion/Silly Ra.vgz","Chip Champion","Silly Ra"
18348,"Chip Champion/Bonesaw.vgz","Chip Champion",Bonesaw
18880,"Chip Champion/The Derpy South.vgz","Chip Champion","The Derpy South"
14400,"Chip Champion/cause aNd afekts.vgz","Chip Champion","cause aNd afekts"
17885,"Chip Champion/The Ice Caves of Mer.vgz","Chip Champion","The Ice Caves of Mer"
15320,"Chip Champion/Prophecy.vgz","Chip Champion",Prophecy
6577,"Chip Champion/Radical Napz.vgz","Chip Champion","Radical Napz"
15141,"Chip Champion/Probably Probed.vgz","Chip Champion","Probably Probed"
32292,"Chip Champion/rktlhmrg.vgz","Chip Champion",rktlhmrg
18115,"Chip Champion/Moonlit Prowler.vgz","Chip Champion","Moonlit Prowler"
28197,"Chip Champion/Adlib in tha Haus.vgz","Chip Champion","Adlib in tha Haus"
13606,"Chris Korte/Crystal 2.vgz","Chris Korte","Crystal 2"
3335,"Corona688/New Tune.vgz",Corona688,"New Tune"
18310,"Crossbone/Mission Mopreme 32K.vgz",Crossbone,"Mission Mopreme 32K"
13851,"Dalezy/Cyndi Lauper - The Goonies 'R' Good Enough.vgz",Dalezy,"Cyndi Lauper - The Goonies 'R' Good Enough"
29954,Dalezy/Absent-Minded.vgz,Dalezy,Absent-Minded
13489,"Dalezy/Delta - Title Screen.vgz",Dalezy,"Delta - Title Screen"
13329,"Dalezy/Cheating Engine Tune 1.vgz",Dalezy,"Cheating Engine Tune 1"
14030,"Dalezy/Motivation BBStro.vgz",Dalezy,"Motivation BBStro"
6952,"Dalezy/Blackthorne - Cracktro 2.vgz",Dalezy,"Blackthorne - Cracktro 2"
15781,"Dalezy/Deathlord - Zak00.vgz",Dalezy,"Deathlord - Zak00"
6364,"Dalezy/Super Mario Land - Birabuto Kingdom.vgz",Dalezy,"Super Mario Land - Birabuto Kingdom"
5772,"Dalezy/B'less.vgz",Dalezy,"B'less"
6725,"Dalezy/Heatbeat - Deathsong.vgz",Dalezy,"Heatbeat - Deathsong"
42999,"Dalezy/Monty on the Run - High Score.vgz",Dalezy,"Monty on the Run - High Score"
12746,"Dalezy/Comitek BBS Intro Tune.vgz",Dalezy,"Comitek BBS Intro Tune"
7893,"Dalezy/Reflex - Hurryup!.vgz",Dalezy,"Reflex - Hurryup!"
42905,"Dalezy/Delight Loader.vgz",Dalezy,"Delight Loader"
29215,"Dalezy/Outside the World.vgz",Dalezy,"Outside the World"
2941,"DCT Master/Full Moon and Stars Sparkle.vgz","DCT Master","Full Moon and Stars Sparkle"
23432,"Diode Milliampere/Milinda.vgz","Diode Milliampere",Milinda
12305,"Diode Milliampere/Wildlife.vgz","Diode Milliampere",Wildlife
17562,"Diode Milliampere/Squanchy.vgz","Diode Milliampere",Squanchy
14552,"Diode Milliampere/Endless Scroll.vgz","Diode Milliampere","Endless Scroll"
10208,"Diode Milliampere/Cat People.vgz","Diode Milliampere","Cat People"
28440,"Diode Milliampere/RIP.vgz","Diode Milliampere",RIP
73256,"Diode Milliampere/Memento Mori Pt. 1.vgz","Diode Milliampere","Memento Mori Pt"
4006,"Diode Milliampere/XM1SS10N.vgz","Diode Milliampere",XM1SS10N
7909,"Diode Milliampere/1856 Step.vgz","Diode Milliampere","1856 Step"
3048,"Diode Milliampere/Odd Time.vgz","Diode Milliampere","Odd Time"
26904,"Diode Milliampere/Samsara.vgz","Diode Milliampere",Samsara
22241,"Diode Milliampere/Programmable Sound Generator.vgz","Diode Milliampere","Programmable Sound Generator"
10375,"Diode Milliampere/Acid Tracker.vgz","Diode Milliampere","Acid Tracker"
29518,"Diode Milliampere/Keys.vgz","Diode Milliampere",Keys
3213,"Diode Milliampere/NULL.vgz","Diode Milliampere",NULL
15238,"Diode Milliampere/Altair.vgz","Diode Milliampere",Altair
14729,"Diode Milliampere/Mutable Signs.vgz","Diode Milliampere","Mutable Signs"
4746,"Diode Milliampere/ADR1FT.vgz","Diode Milliampere",ADR1FT
17416,"Diode Milliampere/On Planet Zaxxon.vgz","Diode Milliampere","On Planet Zaxxon"
8191,"Diode Milliampere/Greetz Fly.vgz","Diode Milliampere","Greetz Fly"
21213,"Diode Milliampere/Tom Song.vgz","Diode Milliampere","Tom Song"
61867,"Diode Milliampere/Aquarius.vgz","Diode Milliampere",Aquarius
45776,"Dippy/Rivals of Aether - Fight and Flight.vgz",Dippy,"Rivals of Aether - Fight and Flight"
38536,"Dippy/Technological Terror.vgz",Dippy,"Technological Terror"
48479,"Dippy/Jazz Jackrabbit 2 - Streetwize.vgz",Dippy,"Jazz Jackrabbit 2 - Streetwize"
34599,"Dippy/Laxity - Super Market.vgz",Dippy,"Laxity - Super Market"
14720,"Dippy/Shinobi III - Return of the Ninja Master - Idaten.vgz",Dippy,"Shinobi III - Return of the Ninja Master - Idaten"
10053,"dj.tuBIG-MaliceX/Short Sputter.vgz",dj.tuBIG-MaliceX,"Short Sputter"
8215,"dj.tuBIG-MaliceX/Mushihimesama - The Direction to the Heart of the Forest (Stage 5).vgz",dj.tuBIG-MaliceX,"Mushihimesama - The Direction to the Heart of the Forest (Stage 5)"
29791,"dj.tuBIG-MaliceX/Team Innocent - The Point of No Return - CD Track 4.vgz",dj.tuBIG-MaliceX,"Team Innocent - The Point of No Return - CD Track 4"
25850,"dj.tuBIG-MaliceX/Phantom Breaker - Battle Grounds - Shinjuku Stage.vgz",dj.tuBIG-MaliceX,"Phantom Breaker - Battle Grounds - Shinjuku Stage"
23934,"dj.tuBIG-MaliceX/Dragon Slayer - Eiyuu Densetsu - Title Demo.vgz",dj.tuBIG-MaliceX,"Dragon Slayer - Eiyuu Densetsu - Title Demo"
17100,doj/Second4.vgz,doj,Second4
9368,"Drax/Old 64-Style.vgz",Drax,"Old 64-Style"
9349,Drax/Rocky.vgz,Drax,Rocky
27137,Drax/Jaujhe.vgz,Drax,Jaujhe
39610,Drax/Flash.vgz,Drax,Flash
25511,"Drax/Beyond Minds.vgz",Drax,"Beyond Minds"
30290,Drax/Underlig.vgz,Drax,Underlig
20745,"Drax/Street Wise.vgz",Drax,"Street Wise"
2696,Drax/Bussemand.vgz,Drax,Bussemand
9730,"Drax/A-ha - Take On Me.vgz",Drax,"A-ha - Take On Me"
10504,Drax/Sad.vgz,Drax,Sad
17898,"Drax/Human Nature II.vgz",Drax,"Human Nature II"
32423,"Drax/Human Nature I.vgz",Drax,"Human Nature I"
2522,"Drax/Level 42 - Running in the Family.vgz",Drax,"Level 42 - Running in the Family"
12945,"Drax/Goat Army.vgz",Drax,"Goat Army"
4413,Drax/Porno.vgz,Drax,Porno
19082,Drax/Bus.vgz,Drax,Bus
10560,"Drax & Metal/Volly3.vgz","Drax & Metal",Volly3
18319,"Drax & Metal/Super Nova.vgz","Drax & Metal","Super Nova"
8604,"Drax & Metal/Highscore.vgz","Drax & Metal",Highscore
27879,"Drax & Metal/Breaking Wind.vgz","Drax & Metal","Breaking Wind"
21740,"Dretz/Chrono Trigger - Undersea Palace.vgz",Dretz,"Chrono Trigger - Undersea Palace"
4386,"Dretz/My Little Pony - Friendship is Magic - Hush Now, Quiet Now.vgz",Dretz,"My Little Pony - Friendship is Magic - Hush Now, Quiet Now"
42541,"Dretz/Undertale - Megalovania.vgz",Dretz,"Undertale - Megalovania"
25994,"Dretz/My Little Pony - Friendship is Magic - Becoming Popular.vgz",Dretz,"My Little Pony - Friendship is Magic - Becoming Popular"
4508,"Dretz/Undertale - Tem Shop.vgz",Dretz,"Undertale - Tem Shop"
14558,"Dretz/Bomberman 64 - The Second Attack - Pommy's Theme.vgz",Dretz,"Bomberman 64 - The Second Attack - Pommy's Theme"
97412,"Dretz/WoodenToaster - Rainbow Factory.vgz",Dretz,"WoodenToaster - Rainbow Factory"
12519,"Dretz/Sonic the Hedgehog 2 - Chemical Plant Zone.vgz",Dretz,"Sonic the Hedgehog 2 - Chemical Plant Zone"
60683,"Dretz/Chrono Trigger - Corridors of Time.vgz",Dretz,"Chrono Trigger - Corridors of Time"
11935,"Dretz/Sonic the Hedgehog 2 - Oil Ocean Zone.vgz",Dretz,"Sonic the Hedgehog 2 - Oil Ocean Zone"
160615,"Dretz/Alstroemeria Records - Bad Apple!!.vgz",Dretz,"Alstroemeria Records - Bad Apple!!"
23516,"Dretz/My Little Pony - Friendship is Magic - Bad Seed.vgz",Dretz,"My Little Pony - Friendship is Magic - Bad Seed"
10832,"Dretz/Sonic the Hedgehog 2 - Mystic Cave Zone.vgz",Dretz,"Sonic the Hedgehog 2 - Mystic Cave Zone"
3366,"Dullstar/Castlevania III - Dracula's Curse - Big Battle 1.vgz",Dullstar,"Castlevania III - Dracula's Curse - Big Battle 1"
3823,"Dullstar/Cave Story - Jenka 2.vgz",Dullstar,"Cave Story - Jenka 2"
2241,Dullstar/Dungeon.vgz,Dullstar,Dungeon
3974,"Dullstar/Cave Story - Oppression.vgz",Dullstar,"Cave Story - Oppression"
4013,"Dullstar/Cave Story - Gravity.vgz",Dullstar,"Cave Story - Gravity"
24099,"Electric Keet/A.M. A.L. Funk.vgz","Electric Keet",A
6826,Encore/Forest.vgz,Encore,Forest
9662,"Encore/FM Tekno!.vgz",Encore,"FM Tekno!"
25484,"Encore/FM House (version II).vgz",Encore,"FM House (version II)"
13606,"Encore/Crazy Little Techno Beat.vgz",Encore,"Crazy Little Techno Beat"
33830,"Encore/The Absence of Julia.vgz",Encore,"The Absence of Julia"
1936,"Encore/Eric Prydz - Call on Me.vgz",Encore,"Eric Prydz - Call on Me"
13907,"Encore/Amegas - Theme.vgz",Encore,"Amegas - Theme"
40028,"Encore/Howard Jones - What is Love.vgz",Encore,"Howard Jones - What is Love"
18347,"Encore/FM House.vgz",Encore,"FM House"
7701,"Encore/Kraftwerk - Computer World.vgz",Encore,"Kraftwerk - Computer World"
6054,"EpicTyphlosion/Doom - Donna to the Rescue (E3M2).vgz",EpicTyphlosion,"Doom - Donna to the Rescue (E3M2)"
30248,"Erik/Cee-Dee - Book of Memories.vgz",Erik,"Cee-Dee - Book of Memories"
10644,"Erik/Vangelis - Alpha.vgz",Erik,"Vangelis - Alpha"
16921,"Esprit!/Space Harrier - Theme.vgz",Esprit!,"Space Harrier - Theme"
100428,"Essentric/Sky Heights.vgz",Essentric,"Sky Heights"
5794,"Ether Audio/Rain Cloud Sunset.vgz","Ether Audio","Rain Cloud Sunset"
6639,"Fabe/Sun Dance.vgz",Fabe,"Sun Dance"
11172,Fabe/Raid.vgz,Fabe,Raid
5844,Fabe/WasWars.vgz,Fabe,WasWars
12816,Fabe/Willow.vgz,Fabe,Willow
20926,"FADE/DoricDream - Famicommodore.vgz",FADE,"DoricDream - Famicommodore"
4186,"FL4SHK/Underground 1.vgz",FL4SHK,"Underground 1"
3830,"FL4SHK/Signal Engine.vgz",FL4SHK,"Signal Engine"
13191,"flashbob/Chowning Playground.vgz",flashbob,"Chowning Playground"
11636,"funute/Slip n Slap.vgz",funute,"Slip n Slap"
62725,"funute/Ethereal Dream.vgz",funute,"Ethereal Dream"
26946,"Furmilion/Rider - Dash.vgz",Furmilion,"Rider - Dash"
1665,"garvalf/mk7 - Spring is Coming.vgz",garvalf,"mk7 - Spring is Coming"
3319,"garvalf/By the Shore.vgz",garvalf,"By the Shore"
5336,"garvalf/Always Inserting or Deleting the Same Data.vgz",garvalf,"Always Inserting or Deleting the Same Data"
19260,"garvalf/Electrostatic Powers.vgz",garvalf,"Electrostatic Powers"
5023,garvalf/Cyber-Danserye.vgz,garvalf,Cyber-Danserye
7961,garvalf/Litanie.vgz,garvalf,Litanie
18419,"GAZETE/Dio - Mystery.vgz",GAZETE,"Dio - Mystery"
21196,"GAZETE/Into the Storm.vgz",GAZETE,"Into the Storm"
19166,Goopal/98_ARTEC.vgz,Goopal,98_ARTEC
33605,"Goopal/Yamaha PSR-48 - Demo Song.vgz",Goopal,"Yamaha PSR-48 - Demo Song"
7902,"Goopal/Street Fighter II - Title.vgz",Goopal,"Street Fighter II - Title"
3826,gotoandplay/Catnip.vgz,gotoandplay,Catnip
6757,"gotoandplay/Ada while Ad ad ad ad.vgz",gotoandplay,"Ada while Ad ad ad ad"
44330,"gotoandplay/Losing Sanctuary.vgz",gotoandplay,"Losing Sanctuary"
59209,"gotoandplay/Incurabuly Dull.vgz",gotoandplay,"Incurabuly Dull"
1479,gotoandplay/Haze.vgz,gotoandplay,Haze
31933,gotoandplay/Sumerian.vgz,gotoandplay,Sumerian
51664,"gotoandplay & tennisers/Sensory Premonition.vgz","gotoandplay & tennisers","Sensory Premonition"
16158,"GudPiggeh/Harment of Ibusion.vgz",GudPiggeh,"Harment of Ibusion"
12182,"hah2o/Final Fantasy VI - Aria di Mezzo Carattere.vgz",hah2o,"Final Fantasy VI - Aria di Mezzo Carattere"
17580,"hah2o/Final Fantasy VI - Battle Theme.vgz",hah2o,"Final Fantasy VI - Battle Theme"
39314,"hah2o/Shincheonji Adlib Club Logo Song.vgz",hah2o,"Shincheonji Adlib Club Logo Song"
14089,"hah2o/Final Fantasy VI - Blackjack.vgz",hah2o,"Final Fantasy VI - Blackjack"
9804,"hah2o/Final Fantasy VI - Searching for Friends.vgz",hah2o,"Final Fantasy VI - Searching for Friends"
17742,"Hanna Lee/Zara.vgz","Hanna Lee",Zara
13043,"Hanna Lee/Chaya.vgz","Hanna Lee",Chaya
20148,"Hanna Lee/Splash.vgz","Hanna Lee",Splash
21094,"Hannes Seifert/My Revenge.vgz","Hannes Seifert","My Revenge"
9843,"Hannes Seifert/Still Remember Rob.vgz","Hannes Seifert","Still Remember Rob"
22396,"Hannes Seifert/Shoot'em Up.vgz","Hannes Seifert","Shoot'em Up"
28552,"Hannes Seifert/Middle of Illusion.vgz","Hannes Seifert","Middle of Illusion"
8225,"Hannes Seifert/JOE - Painfull Emptyness.vgz","Hannes Seifert","JOE - Painfull Emptyness"
10961,"Hannes Seifert/TRSI Techno Tune.vgz","Hannes Seifert","TRSI Techno Tune"
9300,"Henri Chalifour/Gargoyles.vgz","Henri Chalifour",Gargoyles
5520,"Henri Chalifour/Highways.vgz","Henri Chalifour",Highways
9721,"Henri Chalifour/Very Busy.vgz","Henri Chalifour","Very Busy"
24211,"Hortus/Sliding on a Rainbow.vgz",Hortus,"Sliding on a Rainbow"
30122,"Hydra/Pseudolukian - Count Floyd.vgz",Hydra,"Pseudolukian - Count Floyd"
15008,"Hydra/Hi-Lite - Purple Shades.vgz",Hydra,"Hi-Lite - Purple Shades"
10201,"Hydra/Terra Cresta - Theme.vgz",Hydra,"Terra Cresta - Theme"
55053,"Hydra/Amegas - Theme.vgz",Hydra,"Amegas - Theme"
13736,"Hydra/WOTW - Intro Number 42.vgz",Hydra,"WOTW - Intro Number 42"
16188,"Hydra/Delta - Title Screen.vgz",Hydra,"Delta - Title Screen"
5922,"Hydra/Leisure Suit Larry - Theme.vgz",Hydra,"Leisure Suit Larry - Theme"
13364,"Hydra/Mantronix - Behind the Walls.vgz",Hydra,"Mantronix - Behind the Walls"
25507,"Hydra/Organic - Rainbow.Chip.vgz",Hydra,"Organic - Rainbow"
33981,"Hydra/Monty - Mario, Sometimes Hell, Sometimes Heaven.vgz",Hydra,"Monty - Mario, Sometimes Hell, Sometimes Heaven"
16307,"Hydra/Mad Freak - Fuckfuckfuckfuck.vgz",Hydra,"Mad Freak - Fuckfuckfuckfuck"
44245,"Hydra/Comic Bakery - Title.vgz",Hydra,"Comic Bakery - Title"
48097,"Hydra/Virgill - Headcrash Intro 2.vgz",Hydra,"Virgill - Headcrash Intro 2"
22125,"Hydra/Mel O'Dee - Wink of an Eye.vgz",Hydra,"Mel O'Dee - Wink of an Eye"
18644,"Hydra/Chris - Downtown.vgz",Hydra,"Chris - Downtown"
22376,"Hydra/Wizardry - Theme.vgz",Hydra,"Wizardry - Theme"
8645,"Hydra/Commando - High Score.vgz",Hydra,"Commando - High Score"
24979,"Hydra/TDK - Crystal Intro.vgz",Hydra,"TDK - Crystal Intro"
41217,"Hydra/My Dear Rob.vgz",Hydra,"My Dear Rob"
13725,"Hydra/Einstein - Radical Cracktro.vgz",Hydra,"Einstein - Radical Cracktro"
